sheet,id,title,journal,year_pub,art_status,art_doi,art_hint,art_tried,art_file,wp_status,wp_series_used,wp_hint,wp_tried,wp_file,excel_wp_yes,excel_wp_doi,excel_wp_series,excel_wp_year
AER,AER_2023_Janssen,Retail Pharmacies and Drug Diversion during the Opioid Epidemic,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:IFN|title_fallback:NBER,pdfs\wps\AER_2023_Janssen_WP.pdf,1,,IFN,2020.0
AER,AER_2023_Korovkin,Conflict and Intergroup Trade: Evidence from the 2014 Russia-Ukraine Crisis,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:SSRN|title_fallback:NBER,pdfs\wps\AER_2023_Korovkin_WP.pdf,1,,SSRN,2021.0
AER,AER_2023_Currie,What Caused Racial Disparities in Particulate Exposure to Fall? New Evidence from the Clean Air Act and Satellite-Based Measures of Air Quality,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Currie_WP.pdf,1,,NBER,2020.0
AER,AER_2023_ East,Multigenerational Impacts of Childhood Access to the Safety Net: Early Life Exposure to Medicaid and the Next Generation's Health,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_East_WP.pdf,1,,NBER,2017.0
AER,AER_2023_Wolitzky,Unobserved-Offers Bargaining,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Wolitzky_WP.pdf,0,,,0.0
AER,AER_2023_Bombardini,Did US Politicians Expect the China Shock?,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Bombardini_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Onuchic,Signaling and Discrimination in Collaborative Projects,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Onuchic_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Frandsen,Judging Judge Fixed Effects,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Frandsen_WP.pdf,1,,NBER,2019.0
AER,AER_2023_Braxton,Technological Change and the Consequences of Job Loss,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Braxton_WP.pdf,0,,,
AER,AER_2023_Lind,Trade with Correlation,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Lind_WP.pdf,1,,NBER,2018.0
AER,AER_2023_Lanteri,Constrained-Efficient Capital Reallocation,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Lanteri_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Saccardo,Enabling or Limiting Cognitive Flexibility? Evidence of Demand for Moral Commitment,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_s2_wp,,,official_host:CESIFO|title_fallback:NBER|title_fallback:IZA|title_fallback:SSRN|s2:https://escholarship.org/content/qt0874x1wz/qt0874x1wz.pdf?t=rt2a73,pdfs\wps\AER_2023_Saccardo_WP.pdf,1,,CESifo,2020.0
AER,AER_2023_Rafey,"Droughts, Deluges, and (River) Diversions: Valuing Market-Based Water Reallocation",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Rafey_WP.pdf,0,,,
AER,AER_2023_Sampson,"Technology Gaps, Trade, and Income",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:CESIFO|title_fallback:NBER,pdfs\wps\AER_2023_Sampson_WP.pdf,1,,CESifo,2019.0
AER,AER_2023_Banerjee,Electronic Food Vouchers: Evidence from an At-Scale Experiment in Indonesia,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Banerjee_WP.pdf,0,,,
AER,AER_ 2023_Gorodnichenko,The Voice of Monetary Policy,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Gorodnichenko_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Okeke,When a Doctor Falls from the Sky: The Impact of Easing Doctor Supply Constraints on Mortality,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:RAND|title_fallback:NBER,pdfs\wps\AER_2023_Okeke_WP.pdf,1,,RAND,2021.0
AER,AER_2023_Covert,Relinquishing Riches: Auctions versus Informal Negotiations in Texas Oil and Gas Leasing,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Covert_WP.pdf,1,,NBER,2019.0
AER,AER_2023_Bauer,"An Alternative Explanation for the ""Fed Information Effect""",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Bauer_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Carlino,Partisanship and Fiscal Policy in Economic Unions: Evidence from US States,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:FEDERAL RESERVE BANK PHILADELPHIA|title_fallback:NBER,pdfs\wps\AER_2023_Carlino_WP.pdf,1,,Federal Reserve Bank Philadelphia,2020.0
AER,AER_2023_Guryan,Not Too Late: Improving Academic Outcomes among Adolescents,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Guryan_WP.pdf,1,,NBER,2021.0
AER,AER_2023_deJanvry,"Subjective Performance Evaluation, Influence Activities, and Bureaucratic Work Behavior: Evidence from China",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:CEGA|title_fallback:NBER,pdfs\wps\AER_2023_de Janvry_WP.pdf,1,,CEGA,2020.0
AER,AER_2023_Djourelova,Persuasion through Slanted Language: Evidence from the Media Coverage of Immigration,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:UPF|title_fallback:NBER,pdfs\wps\AER_2023_Djourelova_WP.pdf,1,,upf,2020.0
AER,AER_2023_Corrao,Nonlinear Pricing with Underutilization: A Theory of Multi-part Tariffs,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Corrao_WP.pdf,0,,,
AER,AER_2023_Boehm,The Long and Short (Run) of Trade Elasticities,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Boehm_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Sraer,How to Use Natural Experiments to Estimate Misallocation,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Sraer_WP.pdf,1,,NBER,2018.0
AER,AER_2023_Antràs,Globalization and Pandemics,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Antràs_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Patterson,"The Matching Multiplier and the 
Amplification of Recessions",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:CES|official_host:U.S. CENSUS BUREAU|title_fallback:NBER,pdfs\wps\AER_2023_Patterson_WP.pdf,1,,"CES, U.S. Census Bureau",2022.0
AER,AER_2023_Kuhn,What Happens When Employers Can No Longer Discriminate in Job Ads?,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Kuhn_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Ainsworth,"Why Do Households Leave School Value Added on the Table? The Roles of Information and Preferences
Table? The Roles of Information and Preferences",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,MANUAL_NEEDED,,https://ideas.repec.org/cgi-bin/htsearch?q=Why+Do+Households+Leave+School+Value+Added+on+the+Table%3F+The+Roles+of+Information+and+Preferences%0ATable%3F+The+Roles+of+Information+and+Preferences+Ainsworth,official_host:NBER|title_fallback:IZA|title_fallback:CESIFO|title_fallback:SSRN,pdfs\wps\AER_2023_Ainsworth_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Akbar,Mobility and Congestion in Urban India,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Akbar_WP.pdf,1,,NBER,2018.0
AER,AER_2023_Kashyap,Is There Too Much Benchmarking in Asset Management?,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Kashyap_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Romer,Presidential Address: Does Monetary Policy Matter? The Narrative Approach after 35 Years,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Romer_WP.pdf,1,,NBER,2023.0
AER,AER_2023_Ang,The Birth of a Nation: Media and Racial Hate,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:HKS FACULTY RESEARCH WORKING PAPER SERIES|title_fallback:NBER,pdfs\wps\AER_2023_Ang_WP.pdf,1,,HKS Faculty Research Working Paper Series,2020.0
AER,AER_2023_Esposito,Reconciliation Narratives: The Birth of a Nation after the US Civil War,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:CEPR|title_fallback:NBER,pdfs\wps\AER_2023_Esposito_WP.pdf,1,,CEPR,2021.0
AER,AER_2023_Lopomo,Optimal Procurement with Quality Concerns,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:FEDERAL RESERVE BANK OF CHICAGO|title_fallback:NBER,pdfs\wps\AER_2023_Lopomo_WP.pdf,1,,Federal Reserve Bank of Chicago,2022.0
AER,AER_2023_Gaynor,Optimal Contracting with Altruistic Agents: Medicare Payments for Dialysis Drugs,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Gaynor_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Ngangoué,The Common-Probability Auction Puzzle,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Ngangoué_WP.pdf,0,,,
AER,AER_2023_Blattner,When Losses Turn into Loans: The Cost of Weak Banks,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:BANCO DE PORTUGAL|title_fallback:NBER,pdfs\wps\AER_2023_Blattner_WP.pdf,1,,Banco de Portugal,2018.0
AER,AER_2023_Caunedo,Occupational Exposure to Capital-Embodied Technical Change,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:CEPR|title_fallback:NBER,pdfs\wps\AER_2023_Caunedo_WP.pdf,1,,CEPR,2021.0
AER,AER_2023_Cullen,The Old Boys' Club: Schmoozing and the Gender Gap,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Cullen_WP.pdf,1,,NBER,2019.0
AER,AER_2023_Acharya,Optimal Monetary Policy According to HANK,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:CEPR|title_fallback:NBER,pdfs\wps\AER_2023_Acharya_WP.pdf,1,,CEPR,2020.0
AER,AER_2023_Egorov,Optimal Policy under Dollar Pricing,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:CESIFO|title_fallback:NBER,pdfs\wps\AER_2023_Egorov_WP.pdf,1,,CESifo,2020.0
AER,AER_2023_Dillender,Evidence and Lessons on the Health Impacts of Public Health Funding from the Fight against HIV/AIDS,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Dillender_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Cagé,Heroes and Villains: The Effects of Heroism on Autocratic Values and Nazi Collaboration in France,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,MANUAL_NEEDED,,https://ideas.repec.org/cgi-bin/htsearch?q=Heroes+and+Villains%3A+The+Effects+of+Heroism+on+Autocratic+Values+and+Nazi+Collaboration+in+France+Cag%C3%A9,official_host:STANFORD BUSINESS|title_fallback:NBER|title_fallback:IZA|title_fallback:CESIFO|title_fallback:SSRN,pdfs\wps\AER_2023_Cagé_WP.pdf,1,,Stanford Business,2020.0
AER,AER_2023_Enke,"Confidence, Self-Selection, and Bias in the Aggregate",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Enke_WP.pdf,1,,NBER,2022.0
AER,AER_2023_Dávila,Prudential Policy with Distorted Beliefs.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Dávila_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Maestas,The Value of Working Conditions in the United States and Implications for the Structure of Wages.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Maestas_WP.pdf,1,,NBER,2018.0
AER,AER_2023_Bach,Dividend Taxes and the Allocation of Capital: Comment,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Bach_WP.pdf,0,,,
AER,AER_2023_Oh,Does Identity Affect Labor Supply?,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:CESIFO|title_fallback:NBER,pdfs\wps\AER_2023_Oh_WP.pdf,1,,CESifo,2021.0
AER,AER_2023_Abadi,The Reversal Interest Rate.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Abadi_WP.pdf,1,,NBER,2016.0
AER,AER_2023_Best,Individuals and Organizations as Sources of State Effectiveness.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Best_WP.pdf,1,,NBER,2017.0
AER,AER_2023_Maggi,The Political Economy of International Regulatory Cooperation.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Maggi_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Guntin,The Micro Anatomy of Macro Consumption Adjustments.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Guntin_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Wolf,The Missing Intercept: A Demand Equivalence Approach,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Wolf_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Malgouyres,Who Benefits from State Corporate Tax Cuts? A Local Labor Markets Approach with Heterogeneous Firms: Comment,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:IZA|title_fallback:NBER,pdfs\wps\AER_2023_Malgouyres_WP.pdf,1,,IZA,2021.0
AER,AER_2023_Macchi,Worth Your Weight: Experimental Evidence on the Benefits of Obesity in Low-Income Countries,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:UNIVERSITY OF ZURICH|title_fallback:NBER,pdfs\wps\AER_2023_Macchi_WP.pdf,1,,University of Zurich,2022.0
AER,AER_2023_Albagli,Imperfect Financial Markets and Investment Inefficiencies.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Albagli_WP.pdf,1,,NBER,2017.0
AER,AER_2023_Avoyan,A Road to Efficiency through Communication and Commitment,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Avoyan_WP.pdf,0,,,
AER,AER_2023_Rubens,"Market Structure, Oligopsony Power, and Productivity",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:NYU STERN|title_fallback:NBER,pdfs\wps\AER_2023_Rubens_WP.pdf,1,,NYU Stern,2021.0
AER,AER_2023_Chodorow-Reich,The Macroeconomics of the Greek Depression.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Chodorow-Reich_WP.pdf,1,,NBER,2019.0
AER,AER_2023_Cappelen,Second-Best Fairness: The Trade-Off between False Positives and False Negatives.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:NORWEGIAN SCHOOL OF ECONOMICS|title_fallback:NBER,pdfs\wps\AER_2023_Cappelen_WP.pdf,1,,Norwegian School of Economics,2018.0
AER,AER_2023_Ostrovsky,Choice Screen Auctions,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Ostrovsky_WP.pdf,1,,NBER,2020.0
AER,AER_2023_Allen,The Economic Origins of Government.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:LONG-RUN PROSPERITY|title_fallback:NBER,pdfs\wps\AER_2023_Allen_WP.pdf,1,,Long-run prosperity,2022.0
AER,AER_2023_Bhaskar,Regulation Design in Insurance Markets.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Bhaskar_WP.pdf,0,,,
AER,AER_2023_Gershkov,"Optimal Insurance: Dual Utility, Random Losses, and Adverse Selection",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:CRC TR 224|title_fallback:NBER,pdfs\wps\AER_2023_Gershkov_WP.pdf,1,,CRC TR 224,2023.0
AER,AER_2023_Masatlioglu,Intrinsic Information Preferences and Skewness,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Masatlioglu_WP.pdf,0,,,
AER,AER_2023_Buchmann,A Signal to End Child Marriage: Theory and Experimental Evidence from Bangladesh,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Buchmann_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Delacrétaz,Matching Mechanisms for Refugee Resettlement,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:HCEO|title_fallback:NBER,pdfs\wps\AER_2023_Delacrétaz_WP.pdf,1,,HCEO,2019.0
AER,AER_2023_Brot-Goldberg,The Behavioral Foundations of Default Effects: Theory and Evidence from Medicare Part D.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Brot-Goldberg_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Lashkaripour,"Profits, Scale Economies, and the Gains from Trade and Industrial Policy.",AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:SSRN|title_fallback:NBER,pdfs\wps\AER_2023_Lashkaripour_WP.pdf,1,,SSRN,2016.0
AER,AER_2023_Barnichon,A Sufficient Statistics Approach for Macro Policy,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_title_fallback,NBER,,official_host:BSE|title_fallback:NBER,pdfs\wps\AER_2023_Barnichon_WP.pdf,1,,BSE,2020.0
AER,AER_2023_Mulhern,Beyond Teachers: Estimating Individual School Counselors' Effects on Educational Attainment,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:ANNENBERG BROWN UNIVERSITY,pdfs\wps\AER_2023_Mulhern_WP.pdf,1,,Annenberg Brown University,2022.0
AER,AER_2023_Aghion,The Impact of Regulation on Innovation.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Aghion_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Ito,Selection on Welfare Gains: Experimental Evidence from Electricity Plan Choice.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Ito_WP.pdf,1,,NBER,2021.0
AER,AER_2023_Brodeur,Unpacking p-Hacking and Publication Bias.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Brodeur_WP.pdf,1,,NBER,2023.0
AER,AER_2023_Chan,Is There a VA Advantage? Evidence from Dually Eligible Veterans.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Chan_WP.pdf,1,,NBER,2022.0
AER,AER_2023_Ray,Measuring Upward Mobility,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,downloaded_nber_official,NBER,,official_host:NBER,pdfs\wps\AER_2023_Ray_WP.pdf,1,,NBER,2022.0
AER,AER_2023_Ali,Who Controls the Agenda Controls the Legislature.,AER,2023,SKIPPED_WP_ONLY_MODE,,,,,no_wp,,,,pdfs\wps\AER_2023_Ali_WP.pdf,0,,,
